Judul,Gambar,Sumber Gambar,Alat dan Bahan,Langkah,Jenis,Sumber Artikel,Artikel Serupa
Pita Dari Koran,pita_dari_koran.jpg,popsugar-assets.com,"['koran bekas', 'lem', 'gunting']","['potong koran membentuk persegi panjang 5 buah (ukuran menyesuaikan)', '3 buah ditumpuk dan direkatkan menggunakan potongan koran lain yang lebih kecil (digunakan sebagai badan pita)', '2 buah lainnya digunakan sebagai ekor pita (lipat ke dalam bagian ujung kemudian gunting hingga terlihat potongan yang terbelah di tengah)', 'rekatkan badan dan ekor pita menggunakan lem']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Kerajinan Bunga dari Kertas Koran', 'Kerajinan dari Koran Jadi Tempat Pensil', 'Tempat Pensil dari Koran', 'Bunga Dari Koran Bekas', 'Kerajinan dari Koran Jadi Kertas Daur Ulang']"
Sandal Dari Koran Bekas,sandal_dari_koran_bekas.jpg,latansa.id,"['koran', 'kardus', 'lem', 'lem tembak', 'gunting', 'mika atau plastik', 'kain', 'kawat', 'manik-manik']","['buatlah alas sandal menggunakan kardus dan lapisi dengan mika atau plastik', 'buatlah beberapa gulungan koran bekas', 'potong kawat sepanjang bagian tepi alas sandal kemudian lapisi menggunakan kain', 'tempelkan gulungan koran di atas alas sandal sampai tertutupi semua', 'buat lubang untuk meletakkan pengait sandal', 'untuk membuat pengait sandal gunakan kawat yang telah dilapisi kain agar pengait sandal terasa empuk']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Keranjang dari Kertas Koran Bekas', 'Topi Dari Koran Bekas', 'Figura Dari Koran Bekas', 'Bunga Dari Koran Bekas', 'Membuat Tempat Tisu dari Koran Bekas']"
Topi Dari Koran Bekas,topi_dari_koran_bekas.jpg,i.nytimg.com,"['Koran bekas', 'Karton', 'Lidi', 'Lem', 'Gunting', 'Mangkok', 'Hiasan atau manik-manik']","['buatlah bagian atas topi dengan menganyamnya seperti dalam gambar', 'cetak menggunakan mangkok agar hasil lebih rapi', 'setelah membuat bagian atas topi lanjutkan menganyam bagian samping topi secara melebar', 'lakukan langkah-langkah tersebut hingga terbentuk topi cantik', 'tambahkan hiasan untuk mempercantik tampilan topi']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Mangkok Dari Koran Bekas', 'Membuat Mangkok dari Koran Bekas', 'Figura Dari Koran Bekas', 'Bunga Dari Koran Bekas', 'Keranjang dari Kertas Koran Bekas']"
Toples Permen Dari Koran Bekas,toples_permen_dari_koran_bekas.jpg,marmastore.files.wordpress.com,"['Koran bekas', 'Karton', 'Lem', 'Gunting', 'Toples']","['Buatlah gulungan koran menjadi beberapa gulung', 'Potong karton membentuk lingkaran menjadi 2 buah', 'Tempelkan beberapa ujung gulungan koran pada karton dan tutup menggunakan karton satunya', 'Anyamlah gulungan koran tersebut hingga membentuk sebuah toples (agar hasilnya rapi cetak menggunakan toples)']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Kalungan Bunga Dari Koran Bekas', 'Celengan Dari Koran Bekas', 'Vas Bunga Dari Koran Bekas', 'Keranjang dari Kertas Koran Bekas', 'Bunga Dari Koran Bekas']"
Vas Bunga Sederhana Dari Koran Bekas,vas_bunga_sederhana_dari_koran_bekas.jpg,wajibbaca.com,"['Koran bekas', 'Karton', 'Lem', 'Gunting']","['Buatlah gulungan koran menjadi beberapa gulung', 'Potong karton membentuk persegi menjadi 2 buah', 'Tempelkan beberapa ujung gulungan koran pada karton dan tutup menggunakan karton satunya', 'Anyamlah gulungan koran tersebut hingga membentuk vas bunga yang Anda inginkan']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Bunga Dari Koran Bekas', 'Vas Bunga Dari Koran Bekas', 'Kerajinan Bunga dari Kertas Koran', 'Kalungan Bunga Dari Koran Bekas', 'Buket Bunga Dari Koran']"
Bingkai Foto Lucu dari Kardus bekas,bingkai _foto_lucu_dari_kardus_bekas.jpg,Cara Membuat Kerajinan Tangan (Sumber: Moondoggiesmusic),"['Kardus','Gunting', 'Lem', 'Spidol Permanen', 'Cat Air(Optional)']","['Siapkan kardus bekas dan potong menjadi beberapa lapisan seperti pada gambar.', 'Buat tatakan dari kardus bekas untuk menyangga bingkai foto.', 'Buat pola atau hiasan sesuai keinginan Anda untuk menghias tampilan bingkai.', 'Warnai dengan cat dan beri motif bingkai sesuai dengan desain yang Anda inginkan.', 'Biarkan bingkai kering dengan baik sebelum Anda menambahkan foto di dalamnya.', 'Sekarang, bingkai foto dari kardus bekas Anda siap untuk digunakan.']",kardus,https://www.liputan6.com/hot/read/4703280/7-cara-membuat-kerajinan-tangan-dari-kardus-bekas-yang-unik-dan-mudah-dibuat?page=3,"['Lampu Tidur cantik dari Kardus bekas', 'Rak dari Kardus bekas', 'Lampu Hias dari Kardus Bekas', 'Miniatur Rumah dari Kardus Bekas', 'Tempat Sampah dari kardus']"
Lampu Tidur cantik dari Kardus bekas,lampu_tidur.jpg,Kompas.com,"['Kardus', 'Saklar', 'Lampu', 'Cutter', 'Lem tembak atau lem fox', 'Penggaris', 'Pensil']","['Siapkan semua alat dan bahan yang diperlukan.', 'Tentukan bentuk dan desain lampu tidur yang ingin Anda buat.', 'Gunakan pensil dan penggaris untuk menggambar pola atau desain lampu tidur pada kardus.', 'Gunakan cutter untuk memotong kardus sesuai dengan pola yang telah Anda gambar.', 'Pasang saklar dan lampu pada kardus sesuai dengan desain yang Anda buat.', 'Gunakan lem tembak atau lem fox untuk menempelkan semua bagian kardus dengan rapi.', 'Pastikan semua bagian sudah terpasang dengan kuat dan aman.', 'Tes lampu tidur untuk memastikan bahwa lampu berfungsi dengan baik.', 'Lampu tidur kardus Anda siap untuk menemani waktu tidur Anda!']",kardus,https://www.gramedia.com/best-seller/kerajinan-tangan-dari-kardus/#8_Lampu_Tidur,"['Lampu Hias dari Kardus Bekas', 'Bingkai Foto Lucu dari Kardus bekas', 'Rak dari Kardus bekas', 'Tempat Sampah dari kardus', 'Tempat Tidur Kucing dari kardus']"
Tempat Tidur Kucing dari kardus,kandang_kucing.jpg,Kompas.com,"['Kardus berbentuk kotak', 'Gunting atau cutter', 'Lem superglue', 'Kertas kado dan Hiasan pilihan (Optional)', 'Selimut kecil, tidak terlalu tebal dan tidak terlalu tipis']","['Sebelum membuat kasur kucing menggunakan kerajinan dari kardus, pastikan terlebih dahulu ukurannya pas dengan kucing kesayanganmu agar nantinya ia dapat beristirahat dengan nyaman.', 'Gunting bagian depan kardus sebagai pintu masuk kucing menggunakan cutter atau gunting.', 'Agar tidak terlalu polos, Anda dapat menghias tempat tidur kucing dari kardus ini menggunakan kertas kado dengan pola dan corak pilihan. Anda juga bisa menambahkan nama kucing Anda pada bagian depan agar tempat tidur kucing lebih terlihat personal.', 'Masukkan selimut yang tidak terlalu tebal tadi', 'Kucing anda sudah bisa beristirahat dengan tenang di kandang barunya']",kardus,https://www.gramedia.com/best-seller/kerajinan-tangan-dari-kardus/#17_Tempat_Tidur_Kucing,"['Lampu Tidur cantik dari Kardus bekas', 'Aquarium Kardus', 'Tempat Sampah dari kardus', 'Rak dari Kardus bekas', 'Bingkai Foto Lucu dari Kardus bekas']"
Celengan unik dari Kardus,celengan_unik_dari_kardus.jpg,Kompas.com,"['Kardus bekas', 'Tali sepatu berwarna', 'Pensil', 'Penggaris', 'Paku', 'Cutter']","['Tentukan ukuran celengan yang diinginkan.', 'Gambar pola celengan pada kardus menggunakan pensil dan penggaris. Pastikan garisnya tidak miring-miring untuk menjaga bentuk celengan yang simetris.', 'Potong pola kardus menggunakan cutter atau gunting kertas.', 'Lipat kardus hingga berbentuk kubus.', 'Lubangi sisi samping kardus menggunakan paku secara sejajar. Pastikan semua lubangnya tidak terlalu berdempetan dan mempunyai jarak yang sama antara satu lubang dengan yang lainnya.', 'Jahit sisi-sisi kardus yang sudah dilubangi menggunakan tali sepatu.', 'Lubangi celah atas celengan menggunakan cutter.', 'Celengan siap digunakan.']",kardus,https://www.gramedia.com/best-seller/kerajinan-tangan-dari-kardus/#14_Celengan,"['Celengan Dari Koran Bekas', 'Celengan Babi dari Botol Plastik', 'Celengan Lucu dari Kaleng Bekas', 'Kerajinan Celengan Anak dari Botol Plastik Bekas', 'Bingkai Foto Lucu dari Kardus bekas']"
Cermin Hias unik,cermin_hias_unik.jpg,Cermin dari kardus (Dok Kemendikbud),"['Kertas bekas', 'Kardus bekas', 'Cermin', 'Lem tembak', 'Lem fox', 'Cat minyak ukuran kecil', 'Kuas cat ukuran kecil', 'Penggaris', 'Pensil', 'Glitter', 'Manik-manik', 'Gunting', 'Cutter']","['Kertas bekas', 'Kardus bekas', 'Cermin', 'Lem tembak', 'Lem fox', 'Cat minyak ukuran kecil', 'Kuas cat ukuran kecil', 'Penggaris', 'Pensil', 'Glitter', 'Manik-manik', 'Gunting', 'Cutter']",kardus,https://www.detik.com/edu/edutainment/d-6627156/5-kerajinan-dari-kardus-dan-cara-membuatnya,"['Membuat Cermin Hias Dari Sendok Plastik', 'Gorden Dari Kain Perca Yang Sederhana', 'Lukisan Unik Koran', 'Membuat Wadah Unik dari Kaos Bekas', 'Celengan unik dari Kardus']"
Tas Tangan Lucu,tas_tangan_lucu.jpg,momjunction.com,"['Kardus', 'Selotip', 'Gunting', 'Gusset', 'Pembersih batang/pipa Chenille', 'Manik-manik dan kancing untuk hiasan', 'Lem']","['Potong kardus yang telah dibuat pola tas. Buat sebanyak dua buah.', 'Lalu potong tepi buhul, bungkus di sekitar kurva dan rekatkan menggunakan lem. Bisa ditambah dengan selotip juga agar kuat.', 'Buat lubang di setiap sisi dan putar setengah dari pembersih pipa atau batang chenille untuk membuat lingkaran.', 'Setelah itu, pasang manik-manik ke batang chenille dan putar ujungnya melalui lingkaran tas tangan.', 'Hias kerajinan tangan dari kardus ini dengan stiker apa pun yang kamu suka.']",kardus,https://www.orami.co.id/magazine/kerajinan-tangan-dari-kardus,"['Tas Jinjing dari Kain Perca', 'Tote Bag dari Kain Perca', 'Tempat Pensil lucu dari kaleng', 'Tas Rias Make Up', 'Tote Bag Kaos Bekas']"
Tempat Tidur Boneka,tempat_tidur_boneka.jpg,parents.com,"['Kardus ukuran 17x11x11 inci', 'Gunting', 'Kertas', 'Selotip', 'Pensil', 'Cutter', 'Lem tembak', 'Pom-pom dan manik-manik besar untuk hiasan']","['Jika kotaknya rata, potong keempat tutup atas.', 'Lipat selembar kertas menjadi dua sehingga ukurannya 8,5x5,5 inci.', 'Pegang kertas terlipat secara vertikal dan potong desain dekoratif di bagian atas.', 'Buka lipatan, rekatkan ke salah satu panel samping kotak yang pendek, rapikan.', 'Gunakan cutter untuk membuat desain headboard di kardus.', 'Ulangi untuk membuat desain footboard pada sisi yang berlawanan.', 'Pasang bagian bawah kotak dan tutup rapat dengan lem tembak.', 'Hiasi tiang ranjang dengan pom-pom dan bingkai dengan manik-manik, rekatkan dengan lem.']",kardus,https://www.orami.co.id/magazine/kerajinan-tangan-dari-kardus,"['Boneka Kaos Bekas', 'Kerajinan Boneka dari Kulit Telur', 'Sarung bantal', 'Lampu Gantung', 'Tempat Lilin']"
Kotak Pensil,kotak_pensil.jpg,Kompas.com,"[ 'Kardus', 'Kertas asturo', 'Kertas HVS', 'Cutter', 'Gunting', 'Lem putih (superglue lebih baik)', 'Pensil', 'Penggaris', ]","['Menyiapkan kardus sesuai dengan ukuran kotak pensil yang diinginkan.', 'Ukuran tersebut menggunakan ukuran 18 cm x 15 cm yang dapat diperlebar hingga 28 cm x 15 cm.', 'Potong kepingan-kepingan kardus tersebut.', 'Kepingan yang membentuk huruf U adalah bagian yang nantinya akan bisa ditarik keluar menghasilkan kotak pensil yang lebih lebar.', 'Gunting kertas HVS dengan lebar sekitar 4 cm dan tempelkan pada setiap sisi kardus.', 'Setelah kertas HVS dipasangkan pada kardus sebagai border, langkah berikutnya dalam cara membuat kerajinan dari kardus ini adalah melekatkan setiap potongan menggunakan lem. Masing-masing 2 lapis.', 'Jika semua bagiannya sudah merekat satu sama lain, ini saatnya membangun kepingan kardus menjadi kotak pensil bagian dalam.', 'Rekatkan menggunakan lem.', 'Satukan kepingan-kepingan yang membentuk bagian dalam dengan kepingan luar kotak pensil.', 'Pasangkan 'rel' panjang pada bagian dalam dan masukkan kepingan kardus U untuk formasi bagian luar.']",kardus,https://www.gramedia.com/best-seller/kerajinan-tangan-dari-kardus/#15_Kotak_Pensil,"['Tempat Pensil dari Koran', 'Tempat Pensil lucu dari kaleng', 'Tempat Pensil dari Kaleng Bekas', 'Tempat Pensil dari Pelepah Pisang', 'Tempat Pensil dari Gelas Kaca']"
Stand Laptop,stand_laptop.jpg,instructables.com,"['Kardus setebal kurang lebih 1/4 inci', 'Alat ukur' , 'Pulpen / Pensil', 'pemotong sederhana']","['Ukur tinggi layar laptop yang diinginkan dari meja ke bagian bawah laptop. Ini akan menjadi tinggi belakang kaki penyangga. Contoh: 4 inci.', 'Ukur panjang diagonal bagian bawah laptop, mulai dan berakhir sekitar 2 inci dari tepi. Ini akan menjadi panjang kaki penyangga. Hindari bagian yang menonjol dari laptop.', 'Gambar bentuk kaki penyangga pada kardus dengan panjang dan tinggi yang sudah diukur. Buat persegi kecil di bagian depan sebagai pengganjal laptop. Buat garis dari titik 1 inci dari bawah di garis depan ke titik 5 inci di garis belakang. Potong bentuk kaki penyangga sesuai garis.', 'Buat slot pada kaki penyangga agar bisa disambungkan. Ukur setengah dari panjang kaki penyangga di bagian bawah, lalu buat garis di titik itu. Buat tanda setengah dari garis itu. Ini akan menjadi batas bawah slot untuk satu kaki dan batas atas slot untuk kaki lainnya. Potong slot selebar 1/4 inci.', 'Sambungkan kaki penyangga dan pastikan alatnya rata. Sesuaikan jika perlu. ', 'Alat penyangga laptop dari kardus sudah jadi!']",kardus,Make a Laptop Stand From Cardboard - the Quick and Easy Way : 6 Steps - Instructables,"['Kotak Pensil', 'Tas Tangan Lucu', 'Rak Buku', 'Sarung bantal', 'Kotak Tisu']"
Display Bumbu Dapur,display_bumbu_dapur.jpg,www.dekoruma.com,"['Kardus dengan tebal 1 cm', 'Gunting dan cutter', 'Lem tembak', 'Lem putih', 'Pulpen', 'Penggaris', 'Kertas warna', 'Aksesoris tambahan']","['Siapkan pola sesuai dengan desain rak yang diinginkan menggunakan penggaris dan pulpen.', 'Sesuaikan pula jumlah pola dengan sisi rak yang akan dibuat. Apakah rak akan dibuat bertingkat atau tidak.', 'Jika ingin rak lebih kuat untuk menahan beban, setiap sisi rak buatlah menjadi dua atau tiga lapisan kardus.', 'Potong pola menggunakan gunting dan cutter dengan teliti dan rapi.', 'Selanjutnya lapisilah setiap sisi rak dengan kertas warna sesuai dengan keinginan dan gunakan lem putih sebagai perekat.', 'Setelah semua sisi rak dilapisi kertas warna, satukanlah setiap sisi sesuai dengan pola dan desain yang dibuat menggunakan lem tembak.', 'Tambahkan aksesoris yang telah disediakan seperti gantungan atau pernak-pernik lainnya.']",kardus,https://bp-guide.id/AXRK7xPP,"['Kaos Ombre', 'Kerajinan Bunga dari Kulit Jagung', 'Rak Buku', 'Sarung bantal', 'Lampu Hias dengan DVD bekas']"
Hiasan Berbentuk Kaktus,hiasan_berbentuk_kaktus.jpg,media.rooang.com,"['Kardus', 'Cat semprot atau cat akrilik', 'Cutter', 'Gunting', 'Lem', 'Pot dengan berbagai ukuran' ,'Gabus atau styrofoam']","['Gunting kardus sebagai pola untuk tanaman kaktus yang diinginkan.', 'Cat seluruh bagian pola kaktus sesuai dengan warna yang diinginkan.', 'Kamu juga bisa berkreasi dengan menambahkan motif pada sisi kardus yang telah diwarnai agar terlihat lebih menarik.', 'Setelah selesai diwarnai, satukan semua pola yang telah dibuat menggunakan lem hingga menjadi sebuah kaktus.', 'Masukkan gabus atau styrofoam ke dalam pot dan tancapkan kaktus dari kardus yang telah selesai dibuat.']",kardus,https://bp-guide.id/AXRK7xPP,"['Hiasan Rumah Berbentuk Pohon', 'Lampu Hias Berbentuk Nanas', 'Hiasan dinding kardus hexagonal', 'Membuat Tanaman Bonsai dari Tali Rafia', 'Dekorasi Dinding Dari Kaleng Bekas']"
Rak Buku,rak_buku.jpg,udsregep.com,"['Kardus tebal berukuran cukup besar', 'Lem yang daya rekatnya kuat', 'Lem kertas', 'Gunting/cutter', 'Kertas kado']","['Potong kardus bentuk persegi untuk rak dan persegi panjang untuk sisi kiri dan kanan rak.', 'Sesuaikan jumlah lembarannya dengan jumlah rak yang akan dibuat.', 'Agar kokoh, setiap sisi lapisi dengan 2 atau 3 lembar kardus.', 'Lapisi setiap sisi rak dengan kertas kado dan rekatkan dengan rapi menggunakan lem kertas agar rak terlihat lebih cantik.', 'Satukan setiap lembaran menggunakan lem perekat. Lembaran persegi panjang untuk sisi kiri dan kanan, sedangkan lembaran persegi untuk bagian atas, bawah, dan tengah rak.']",kardus,https://bp-guide.id/AXRK7xPP,"['Lampu Gantung', 'Tempat Tidur Boneka', 'Tempat Lilin', 'Kotak Pensil', 'Sarung bantal']"
Lampu Hias dari Kardus Bekas,lampu_hias_dari_kardus_bekas.jpg,ruangmom.com,"[‘Kardus’, ‘Gunting’, ‘Lem’, ‘Pisau Cutter’, ‘Lampu LED’, ‘Kabel’, ‘Saklar’, ‘Colokan’]","[‘Potong kardus menjadi bentuk persegi panjang dengan ukuran yang sama.’, ‘Susun kardus menjadi bentuk kubus dan lem pada setiap sisi.’, ‘Buat lubang pada salah satu sisi kubus untuk memasukkan kabel lampu.’, ‘Buat pola atau motif pada setiap sisi kubus dengan pisau cutter.’, ‘Masukkan lampu LED ke dalam kubus dan sambungkan dengan kabel, saklar, dan colokan.’, ‘Nyalakan lampu dan nikmati lampu hias dari kardus bekas Anda.’]	[‘kardus’, ‘",kardus,https://perpusteknik.com/kerajinan-tangan-dari-kardus-bekas-dan-cara-membuatnya/#3_Lampu_Kardus,"['Lampu Hias dari Botol Plastik Bekas', 'Rak dari Kardus bekas', 'Lampu Tidur cantik dari Kardus bekas', 'Kerajinan Tangan Lampu Hias dari Botol Mizone Bekas', 'Lampu Tidur Hias dari Botol Kaca Bekas']"
Miniatur Rumah dari Kardus Bekas,miniatur_rumah_dari_kardus_bekas.jpg,pinteres.com,"[‘Kardus’, ‘Gunting’, ‘Lem’, ‘Pensil’, ‘Penggaris’, ‘Cat’, ‘Kuas’, ‘Kertas Warna’, ‘Stiker’]","[‘Gambar sketsa rumah pada kardus dengan pensil dan penggaris.’, ‘Potong kardus sesuai dengan sketsa rumah yang telah digambar.’, ‘Lem bagian-bagian kardus yang telah dipotong untuk membentuk rumah.’, ‘Warnai rumah dengan cat dan kuas sesuai dengan selera Anda.’, ‘Tambahkan detail rumah seperti pintu, jendela, atap, dll dengan kertas warna dan stiker.’, ‘Miniatur rumah dari kardus bekas Anda sudah jadi dan siap dipajang.’]",kardus,https://www.altaschool.id/blog/tips-dan-ide-membuat-kerajinan-dari-bahan-bekas,"['Rak dari Kardus bekas', 'Miniatur Rumah', 'Lampu Hias dari Kardus Bekas', 'Lampu Tidur cantik dari Kardus bekas', 'Bingkai Foto Lucu dari Kardus bekas']"
Rak dari Kardus bekas,rak_dari_kardus_bekas.jpg,upcyclemystuff.com,"['Kardus', 'Kayu triplek', 'Cutter','Kertas kado',' Lem super']","['Potong kardus menjadi beberapa bagian', 'Rekatkan semua potongan kardus dengan lem.', 'Rakit sesuai bentuk yang diinginkan.', 'Ukur dan potong kayu triplek untuk menutupi beberapa bagian rak', 'Lapisi dengan kertas kado bermotif lucu']",kardus,10 Contoh Kerajinan dari Barang Bekas untuk Dibuat Bersama Anak - Informasi Seputar Pengasuhan dan Pendidikan Anak Usia Dini (altaschool.id),"['Lampu Hias dari Kardus Bekas', 'Bingkai Foto Lucu dari Kardus bekas', 'Tempat Sampah dari kardus', 'Lampu Tidur cantik dari Kardus bekas', 'Miniatur Rumah dari Kardus Bekas']"
Tempat Sampah dari kardus,tempat_sampah_dari_kardus.jpg,adahobi.com,"['Kardus bekas', 'Gunting atau pisau', 'Lem', 'Kertas berwarna', 'Sebatang kayu kecil', 'Paku kecil']","['Ambil satu buah kardus dan potong salah satu sisinya bentuk persegi panjang.', 'Pada kardus lainnya, potong salah satu sisinya dengan bentuk segitiga dan pastikan ukuranya sama.', 'Hubungkan kedua sisi kardus dengan sebatang katu kecil.' ,'Agar terlihat cantik, lapisi permukaan kardus dengan kertas berwarna.' ,'Tekuk bagian kardus persegi panjang dan letakkan di atas kayu dan rekatkan dengan paku kecil kemudian hias kardus agar terlihat lebih cantik.']",kardus,https://bp-guide.id/AXRK7xPP,"['Rak dari Kardus bekas', 'Lampu Tidur cantik dari Kardus bekas', 'Aquarium Kardus', 'Tempat Tidur Kucing dari kardus', 'Bingkai Foto Lucu dari Kardus bekas']"
Kotak Tisu,kotak_tisu.jpg,kumparan.com,"['Kardus bekas tebat', 'Kertas bermotif atau berwarna (kertas kado, dan sebagainya)', 'Cat air (jika ingin diwarnai)', 'Gunting' ,'Lem' ,'Pensil' ,'Penggaris' ,'Tisu']","['Langkah pertama adalah ukurlah panjang dan lebar dari tisu yang ingin dimasukkan ke dalam kotak.' ,'Selanjutnya, buatlah pola dari tisu di atas kardus menggunakan bantuan pensil dan penggaris.' ,'Setelah itu, guntinglah pola tersebut. Pada bagian tisu, buatlah celah seperti garis agar tisu bisa diambil dari kotaknya.' ,'Kemudian, lekatkan setiap sisi kardus menggunakan lem sehingga kerangka kotak tisu pun sempurna.' ,'Siapkan kertas penghias yang telah disediakan, lalu lemlah bagian-bagian kardus dengan kertas tersebut.' ,'Alternatif lain untuk menghias kotak tisu adalah menggunakan cat air sehingga kotak tisu bisa dihias sesuai selera.' ,'Jika sudah siap, kotak tisu pun siap digunakan.']",kardus,https://kumparan.com/kabar-harian/cara-membuat-kerajinan-dari-limbah-kardus-yang-mudah-dan-artistik-1xIzmfxZaa3/full,"['Membuat Tempat Tisu dari Koran Bekas', 'Tempat Tisu Sederhana Dari Koran Bekas', 'Tempat Tisu dari Plastik Detergen', 'Sarung bantal', 'Membuat Dompet Dari Anyaman Kertas']"
Aquarium Kardus,aquarium-kardus.jpg,maxipro.co.id,"['Kardus bekas', 'Kertas warna' ,'Benang' ,'Lem kertas' ,'Pensil atau spidol' ,'Kancing' ,'Jarum' ,'Cutter' ,'Penggaris' ,'Gunting']","['Tentukan ukuran aquarium kardus. Buat pola pada kardus sesuai ukuran yang sudah diinginkan.', 'Gunting rangkaian pola kardus tersebut menggunakan cutter atau gunting.', 'Beri lubang horizontal di beberapa titik pada bagian atas kardus sebagai tempat menggeser kancing yang memiliki ikan.', 'Buat gambar ikan, kepiting dan hewan laut lainnya beserta karang, rumput laut pula di atas kertas warna lalu tempel pada kardus. Gunting kardus sesuai gambar hewan laut.', 'Lubangi ujung atas ikan dengan jarum, lalu masukkan benang ke dalam lubang. Buat simpul tali dari benang pada kancing yang sudah disiapkan.', 'Posisikan kancing pada bagian atas kardus, sehingga kancing bisa menggerakkan jarum yang sudah diikatkan pada ikan.', 'Hias interior aquarium mini dengan kertas warna biru untuk memberi kesan suasana laut.']",kardus,https://maxipro.co.id/kerajinan-dari-kardus/,"['Membuat Aquarium Bohlam Untuk Ikan Mini', 'Membuat Aquarium dari TV Bekas', 'Tempat Sampah dari kardus', 'Tempat Tidur Kucing dari kardus', 'Lampu Tidur cantik dari Kardus bekas']"
Hiasan dinding kardus hexagonal,hiasan_dinding_kardus_hexagonal.jpg,Rumah123.com,"['Kardus bekas', 'Gunting atau Cutter', 'Double tip', 'Cat']","['Potong kardus dengan bentuk segi enam sebanyak 10 potongan atau lebih, sesuai dengan kebutuhan', 'Ambil 3 bagian, dan lubangi', 'Buat lubang membentuk hexagonal yang lebih kecil', 'Cat salah satu sisi kardus yang tidak dilubangi menggunakan warna favoritmu', 'Untuk kardus yang dilubangi, cat menggunakan warna yang kontras dari warna sebelumnya', 'Pasang double tip pada sudut-sudut kardus (di sisi belakang)', 'Tempelkan pada dinding']",kardus,https://artikel.rumah123.com/4-kreasi-dan-cara-membuat-hiasan-dinding-dari-kardus-56570,"['Lampu Hias dari Kardus Bekas', 'Dekorasi Dinding Dari Kaleng Bekas', 'Miniatur Rumah dari Kardus Bekas', 'Rak dari Kardus bekas', 'Bingkai Foto Lucu dari Kardus bekas']"
Tipografi industrial,tipografi_industrial.jpg,Rumah123.com,"['Kardus bekas', 'Pilox berwarna silver tua dengan finishing glossy', 'Lem', 'Kain bekas', 'Cat berwarna hitam', 'Double tip', 'Cutter atau Gunting', 'Pensil', 'Spons']","['Gambar kardus membentuk huruf terlebih dahulu menggunakan pensil', 'Potong kardus sesuai gambar huruf' ,'Letakkan huruf-huruf tersebut di atas kain bekas', 'Semprot huruf menggunakan cat berwarna silver tua dengan finishing yang glossy', 'Gunakan spons yang sudah dicelupkan cat berwarna hitam dan ‘tap-tap’ secara tidak beraturan pada huruf yang sudah dicat warna silver', 'Cara tersebut untuk memberikan efek karat sehingga konsep industrial menjadi lebih nyata', 'Pasang double tip di sisi belakang huruf', 'Tempel pada'] dinding",kardus,https://artikel.rumah123.com/4-kreasi-dan-cara-membuat-hiasan-dinding-dari-kardus-56570,"['Membuat Dompet Dari Anyaman Kertas', 'Boneka Kaos Bekas', 'Gantungan Kunci dari Kain Perca', 'Kotak Pensil', 'Membuat kertas daur ulang']"
Pot Bunga dari Kaleng Bekas,pot_bunga.jpg,Pixabay,"['Kaleng kosong.', 'Cat akrilik.', 'Manik-manik untuk hiasan kaleng (opsional).' Gunting.', 'Kuas.', 'Pembuka kaleng.']","['Ambil kaleng kosong yang telah disiapkan dan lepaskan salah satu tutupnya dengan pembuka kaleng.', 'Bersihkan bagian dalam dan luar dengan sabun cuci piring, lalu keringkan.', 'Setelah kering, aplikasikan dua lapis cat akrilik dan biarkan lapisan cat mengering.', 'Tambahkan hiasan manik-manik. (opsional)', 'Jika sudah selesai menghias, Anda bisa memasukkan bunga yang diinginkan.', 'Letakkan pot bunga di tempat yang Anda inginkan.']",logam,https://kumparan.com/berita-hari-ini/4-kreasi-kerajinan-bahan-keras-dari-kaleng-1ziFS2aDzMS/4,"['Tempat Serbaguna dari Kaleng Bekas', 'Lampu Hias dari Kaleng Bekas', 'Tempat Sendok dari Kaleng Bekas', 'Lampu Tidur dari Kaleng Bekas', 'Kalungan Bunga Dari Koran Bekas']"
Lampu Tidur dari Kaleng Bekas,lampu_tidur.jpg,Pexels,"['Kaleng bekas.', 'Cat akrilik.', 'Lampu led portable.', 'Paku', 'Palu']","['Cuci kaleng bekas sampai bersih sempurna sambil membuka stiker pada kaleng.', 'Lapisi bagian luar kaleng dengan cat sampai kaleng terlapisi dengan sempurna.', 'Setelah cat kering, lubangi kaleng dengan paku secara perlahan. Jangan lubangi kaleng menggunakan bor, karena ini akan membuat kaleng penyok dan bagian dalam kaleng menjadi lebih tajam.', 'Masukkan lampu portable ke kaleng.', 'Lampu tidur siap digunakan.']",logam,https://kumparan.com/berita-hari-ini/4-kreasi-kerajinan-bahan-keras-dari-kaleng-1ziFS2aDzMS/4,"['Tempat Serbaguna dari Kaleng Bekas', 'Lampu Hias dari Kaleng Bekas', 'Pot Bunga dari Kaleng Bekas', 'Tempat Sendok dari Kaleng Bekas', 'Lampu Hias dari Botol Plastik Bekas']"
